Date Created,Number of Likes,Source of Tweet,Tweets
2020-02-29 23:59:45+00:00,0,Twitter for iPhone,@miglets80 @JohnValachovic @ScottAdamsSays Trump flew home gov staff from Wuhan.  He flew back infected patients in SAME PLANE as uninfected from Japan. That’s the reason it’s in US.
2020-02-29 23:59:32+00:00,0,dlvr.it,"Trending on PubMed: Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study. https://t.co/4WCKxAMwny"
2020-02-29 23:58:58+00:00,0,Twitter for iPhone,@LBC The Black Death 2020 has arrived. They still haven’t mentioned age groups numbers of who died in Wuhan yet???👈
2020-02-29 23:58:52+00:00,1,Twitter Web App,"New official daily #coronavirus numbers from #China are out

3 new cases in all of China outside #Hubei
5 new cases in all of Hubei outside #Wuhan
565 new cases in Wuhan

Real or fake? Who knows...
Personal opinion: #BS. 
https://t.co/xdQW2T67wd"
2020-02-29 23:58:50+00:00,3,Twitter for iPhone,"Wuhan first Coronavirus patient.
It all started from here.

Image by Lam yik fei. https://t.co/njBEjbmPxa"
2020-02-29 23:58:20+00:00,2,Twitter Web App,@WLaowai8 make a run naked on empty street of Wuhan and i will ! ^_^
2020-02-29 23:58:13+00:00,0,Twitter for Android,"@yousaf86216423 @masudwalid If that is true, why do not u help your Pakistani brothers stuck in Wuhan, China. 

Why do u as a paracides cross Indian border and destroy peace and harmony of Assam.

Why do you nor give shelter Rohingiyas?

Would you not stand for Balochi and for Uighar Muslims?

Hypocrate!"
2020-02-29 23:58:09+00:00,3,Twitter for iPhone,@lookner China is trying to give the impression it’s isolated only to the Wuhan area. Everyone else can go back to work... communist party orders.
2020-02-29 23:57:56+00:00,0,Twitter for Android,@CNN if u stay home，it wont stop spreading。BIG lesson Wuhan has learnt.  Thats why Wuhan build 30 temporary hospital for mild patient.
2020-02-29 23:57:37+00:00,1,Twitter for iPhone,"@RockyMountViews Wuhan, China. Oh I’ve been sneezing!"
2020-02-29 23:57:28+00:00,249,Twitter for iPhone,"Our nation’s leaders are getting this wrong, we just learned that 15% of healthcare workforce in Wuhan landed in ICUs or seriously ill. I’m going on cable news networks tomorrow to emphasize our nation’s vulnerability. If healthcare force in America goes down, we’re done"
2020-02-29 23:57:23+00:00,1,Twitter Web App,@lookner WHO knows. They've been in Wuhan for weeks. They've made public statements supporting the numbers.
2020-02-29 23:57:07+00:00,2,Twitter for iPhone,"@KrutikaKuppalli Dr., let’s do an experiment, let’s deliver you to Wuhan China and let you mingle with the population without a mask, then come back and tell us we don’t need to worry about wearing a mask."
2020-02-29 23:57:02+00:00,0,Twitter for iPhone,"“If we see a situation in the U.S. like we saw in Wuhan — more than 1,000 cases among hospital workers and five or six deaths — it’s game over,” he said. “Health workers lose confidence, and things start to fall apart.”"
2020-02-29 23:56:46+00:00,0,Twitter for iPhone,"@Peing18 @wuhan_virus_jr @xwh78554087 @andrewbogut @Bw0PNtwnZgxfg7w Remembe you are not cleverer than people live in mainland, I know it’s difficult for you to be objective, maybe those fake bad news could comfort and support you to live, if that is helpful for you, nvm about what I said, lived in your western lies happily baby"
2020-02-29 23:56:44+00:00,1,Twitter Web App,"@howroute @TedLandK5 China has so far sent over 30,000 medical workers to Wuhan. More than 10,000 are ICU medics, accounting for 10 percent of the entire country's critical care specialists."
2020-02-29 23:55:57+00:00,0,Twitter Web App,"@AdamWakefield14 @CNN Here: https://t.co/p2pkFVCpvr start from 47 sec as you may not understand Chinese. And mortal rate, see Iran data, I believe you can do basic math for it. And no comment for lies, admins, panic bluhbluh... I already went through in Wuhan, and can't wait to back to US for work OK?"
2020-02-29 23:55:56+00:00,0,Twitter for Android,@moonMoM13 @JuliaDavisNews @tlmlarsen They're already beating them to death in Wuhan. I've seen the video. 😭
2020-02-29 23:55:42+00:00,0,Twitter for iPhone,Don't buy China's story: The coronavirus may have leaked from a lab https://t.co/r7GF0t1Xm8 via @nypost @visit_wuhan #coronavirus
2020-02-29 23:55:35+00:00,1,Twitter Web Client,LEAKED VIDEO! Hidden bitter truth about the corona virus wuhan real LEAK... https://t.co/Rt56MpG5av vía @YouTube
2020-02-29 23:55:33+00:00,1,Twitter Web App,@jonst0kes @snilda Seduced into Wuhan/Boomer Flu by cheese... There are worse ways to undermine all your prepping...
2020-02-29 23:55:25+00:00,0,Twitter for iPhone,"@TiMiller23 can’t believe everything you read, she didn’t even spell wuhan right"
2020-02-29 23:55:18+00:00,0,Twitter for Android,Wuhan man details what it feels like to have coronavirus https://t.co/LOxzt5fUlx
2020-02-29 23:55:15+00:00,0,Twitter for Android,"Public announcement recorded PRC tried to stop the Wuhan virus news from the world until end of Jan. 2020. 
https://t.co/XuxFgrqVbs: Coronavirus: Why China’s leader is to blame for the outbreak.
https://t.co/E28B9oZ76t

via @GoogleNews"
2020-02-29 23:55:08+00:00,180,Twitter Web App,"New official daily coronavirus numbers from China are out

3 new cases in all of China outside Hubei
5 new cases in all of Hubei outside Wuhan
565 new cases in Wuhan

Real or fake? Who knows

https://t.co/v4QVWXuoQp"
2020-02-29 23:55:00+00:00,0,Twitter for Android,"@NikkiTDPike @Dan_Dalton10 @tancredipalmeri That was what exactly happened in Wuhan a month ago. Influx of patients, hospitals were not ready to handle, also not enough testing kits. Infected people didn't get tested and treatment in time. 50%+ became critical condition.  People should worry and educate themselves."
2020-02-29 23:54:59+00:00,0,Twitter Web App,"@submarinewalt @yaneerbaryam They've only had two cases and they were both Chinese who flew in from Wuhan. No new cases reported . . . yet. It seems, however, we all have only a matter of time before it comes."
2020-02-29 23:54:48+00:00,37,Twitter for iPhone,@KsKM3 @sebgs1 @jjacobs1164 @SaysKat @azbrodsky This is misleading. Mortality rate is 0.7% outside of the epicenter (Wuhan)
2020-02-29 23:54:27+00:00,0,Twitter for iPhone,@SylviaD32911201 For a real conspiracy think of Wuhan as a centre of biological weaponry
2020-02-29 23:54:07+00:00,0,Twitter for iPhone,"“That’s EXACTLY what happened in Wuhan. More than 
30% of doctors and nurses in Wuhan themselves fell 
victim to COVID-19, so that the healthcare system 
stopped being a source of healing, 
but became a 
source of infection. “

."
